Metropolis (1927) ,8.3,2h 33min,6 February 1927,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
Incendies (2010) ,8.3,2h 11min,12 January 2011,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Per qualche dollaro in più (1965) ,8.3,2h 12min,20 December 1965,Two bounty hunters with the same intentions team up to track down a Western outlaw.
The Apartment (1960) ,8.3,2h 5min,29 June 1960,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Double Indemnity (1944) ,8.3,1h 47min,6 July 1944,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
To Kill a Mockingbird (1962) ,8.2,2h 9min,6 March 1963,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
Up (2009) ,8.2,1h 36min,11 September 2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Indiana Jones and the Last Crusade (1989) ,8.2,2h 7min,26 July 1990,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
Heat (1995) ,8.2,2h 50min,15 December 1995,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
L.A. Confidential (1997) ,8.2,2h 18min,19 September 1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Die Hard (1988) ,8.2,2h 12min,20 July 1988,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Green Book (2018) ,8.2,2h 10min,21 November 2018,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
Monty Python and the Holy Grail (1975) ,8.2,1h 31min,6 December 1979,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Yôjinbô (1961) ,8.2,1h 50min,25 April 1961,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Batman Begins (2005) ,8.2,2h 20min,17 June 2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Rashômon (1950) ,8.2,1h 28min,26 August 1950,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
Der Untergang (2004) ,8.2,2h 36min,4 July 2006,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Bacheha-Ye aseman (1997) ,8.3,1h 29min,1997,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Unforgiven (1992) ,8.2,2h 10min,9 October 2020,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
Some Like It Hot (1959) ,8.2,2h 1min,19 March 1959,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Ran (1985) ,8.2,2h 42min,1 June 1985,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Hauru no ugoku shiro (2004) ,8.2,1h 59min,1 April 2020,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
All About Eve (1950) ,8.2,2h 18min,1 May 1951,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
A Beautiful Mind (2001) ,8.2,2h 15min,9 October 2020,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
Casino (1995) ,8.2,2h 58min,3 July 2013,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
The Great Escape (1963) ,8.2,2h 52min,4 July 1963,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
The Wolf of Wall Street (2013) ,8.2,3h,3 January 2014,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Pan's Labyrinth (2006) ,8.2,1h 58min,6 August 2018,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
El secreto de sus ojos (2009) ,8.2,2h 9min,13 August 2009,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
There Will Be Blood (2007) ,8.2,2h 38min,30 January 2008,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
"Lock, Stock and Two Smoking Barrels (1998) ",8.2,1h 47min,28 August 1998,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
Tonari no Totoro (1988) ,8.2,1h 26min,1 February 2020,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Raging Bull (1980) ,8.2,2h 9min,19 December 1980,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Judgment at Nuremberg (1961) ,8.2,2h 59min,18 December 1961,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
The Treasure of the Sierra Madre (1948) ,8.2,2h 6min,24 January 1948,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Dial M for Murder (1954) ,8.2,1h 45min,29 May 1954,A former tennis player tries to arrange his wife's murder after learning of her affair.
